Symbol,Yahoo_Symbol,Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA100,SMA200,EMA9,EMA20,EMA50,RSI14,ATR14,ATR_Pct,Volume_Ratio,52W_High,52W_Low,Distance_200DMA_Pct,Distance_52W_High_Pct,Support,Resistance,Pivot,Return_5D_Pct,Return_20D_Pct,Return_60D_Pct,Above_200DMA,Near_200DMA,Recent_200DMA_Cross_Down,Breakout,Near_Breakout,Technical_Score,Trend_Score,Momentum_Score,RSI_Score,Volume_Score,Position_Score,Breakout_Score,Setup,name,series,isin,Company_Name,Sector,Industry,Market_Cap,Enterprise_Value,Revenue,Net_Income,EPS,Forward_EPS,Book_Value,Total_Debt,Total_Cash,Current_Ratio,Quick_Ratio,ROE,ROA,Operating_Margin,Profit_Margin,Debt_to_Equity,PE,Forward_PE,PB,PEG,Dividend_Yield,Revenue_Growth,Profit_Growth,Fundamental_Score,Sector_Score,Market_Adjustment,Overall_Score,Trade_Status,Entry_Zone,Entry_Price,Stop_Loss,Target_1,Target_2,Risk_Reward,Ranking_Quality
CONCORDBIO,CONCORDBIO.NS,2026-09-21,1536.0,1592.0,1512.699951171875,1579.4000244140625,561323.0,1479.8649963378907,1430.487998046875,1330.3559973144531,1266.4274951171874,1495.650977561421,1481.2192259405265,1432.166571903693,65.22158145845874,52.51600250722666,3.325060256771202,3.8831209798927184,1704.0,987.0,24.713023880448404,-7.312205140019811,1411.5999755859375,1575.800048828125,1491.2333577473958,4.894738369675,2.5984149256607303,25.160471816887764,True,False,True,True,True,79.13,25.0,75.33,85.56,100.0,100.0,100.0,Strong Breakout Watch,Concord Biotech Limited,EQ,INE338H01029,Concord Biotech Limited,Healthcare,Biotechnology,154099679232.0,149784772608.0,11083921408.0,2753743104.0,29.06,42.53941,192.806,23156000.0,4318821888.0,,,,,24.962999,24.844,0.115,50.688232,34.626713,7.639804,,50.0,26.200000000000003,31.1,99.39,50,-1.4685,85.76549999999999,Actionable Watch,1575.80 or below,1575.8,1497.03,1733.35,1812.12,2.0,Excellent
FILATEX,FILATEX.NS,2026-09-21,94.69999694824219,103.0,92.91000366210938,102.19999694824219,13909256.0,81.34100036621093,78.85879997253419,64.31939994812012,54.9441499710083,89.0736861271201,84.25571644799506,77.33337321181952,74.43979166675935,5.478861190704863,5.360921090320147,2.4954114759383943,103.0,36.2599983215332,86.00705808019377,-0.7767019919978746,70.73999786376953,94.5,92.02000172932942,16.920252449942417,21.594281067792043,97.56427189758294,True,False,False,True,True,80.07,25.0,100.0,67.12,100.0,100.0,100.0,Strong Breakout Watch,Filatex India Limited,EQ,INE816B01035,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,-1.4685,78.60149999999999,Actionable Watch,94.50 or below,94.5,86.28,110.94,119.15,2.0,Very Strong
GEECEE,GEECEE.NS,2026-09-21,380.0,380.0,360.29998779296875,376.1499938964844,1834.0,367.69750061035154,360.90399963378906,344.68250152587893,322.5562004089355,368.86936548438246,367.36711718244607,360.14189001089494,57.78505603386942,15.070769894187535,4.006585175788937,0.6145494755889153,390.0,215.85000610351562,16.615335070168502,-3.5512836162860606,334.04998779296875,382.0,368.3833312988281,3.1820069927154693,2.5910269079895576,9.905038391960375,True,False,True,False,True,64.88,25.0,63.11,99.57,36.51,100.0,75.0,Pre-Breakout Watch,GeeCee Ventures Limited,BE,INE916G01016,GeeCee Ventures Limited,Real Estate,Real Estate - Development,7321196032.0,4057854208.0,1041168000.0,462947008.0,22.13,6.13,399.266,0.0,2534324992.0,,,,,29.476000000000003,44.464,,15.820154,57.11256,0.87685907,,55.00000000000001,384.0,152.8,100.0,50,-1.4685,77.45949999999999,Actionable Watch,376.15 or below,376.15,353.54,421.36,443.97,2.0,Very Strong
UNIMECH,UNIMECH.NS,2026-09-21,1591.300048828125,1703.0,1570.0,1698.4000244140625,608531.0,1538.0799987792968,1419.2720068359374,1244.9785083007812,1070.5677545166016,1588.584785495411,1544.3074698695461,1432.328564267436,68.66720794144622,72.99615944633702,4.2979367873902525,2.326692687846967,1703.0,695.0,58.64479546004531,-0.2701101342300394,1421.199951171875,1652.800048828125,1590.5666910807292,5.490684746215058,13.271975240747746,55.61663793492022,True,False,True,True,True,81.26,25.0,100.0,78.67,96.43,100.0,100.0,Strong Breakout Watch,Unimech Aerospace and Manufacturing Limited,EQ,INE0U3I01011,Unimech Aerospace and Manufacturing Limited,Industrials,Aerospace & Defense,78312718336.0,73577250816.0,2851223040.0,720227968.0,14.17,30.7,144.925,1267284992.0,5917983744.0,,,,,29.081000000000003,25.259999999999998,17.186,108.574455,50.114006,10.615835,,,70.89999999999999,45.5,75.0,50,-1.4685,77.2875,Actionable Watch,1652.80 or below,1652.8,1543.31,1871.79,1981.28,2.0,Very Strong
GCSL,GCSL.NS,2026-09-21,618.5999755859375,639.0,618.5499877929688,635.0999755859375,2124554.0,579.5024963378906,539.6829974365235,478.6579995727539,409.4304997253418,605.5491021683287,582.9508008006012,540.4389216524461,72.61816977652975,23.24713690757387,3.6603901434772177,2.7442127419297235,639.0,213.14999389648438,55.11789571416432,-0.6103324591647086,485.1499938964844,620.5,609.2166544596354,5.726646026278148,29.903862449302522,54.16918479583857,True,False,False,True,True,80.61,25.0,100.0,70.76,100.0,100.0,100.0,Strong Breakout Watch,Gretex Corporate Services Limited,EQ,INE199P01028,Gretex Corporate Services Limited,Financial Services,Capital Markets,14127630336.0,15163009024.0,1731852032.0,316399008.0,13.4,,70.265,148556000.0,7854000.0,,,,,44.474998,18.269,6.793,44.891792,,8.561161,,12.0,68.2,845.2,75.0,50,-1.4685,76.8975,Actionable Watch,620.50 or below,620.5,585.63,690.24,725.11,2.0,Very Strong
AEGISLOG,AEGISLOG.NS,2026-09-21,1422.0,1500.199951171875,1416.4000244140625,1486.0,1793245.0,1318.184991455078,1322.6239990234376,1121.2304986572265,904.4862496948242,1377.3552956305562,1342.8909901410652,1283.5119661625015,65.56687828716083,63.69345466959274,4.286235172920104,2.087453516706921,1500.199951171875,576.0999755859375,64.29216038401688,-0.9465372373051228,1180.0,1438.0999755859375,1401.6999918619792,9.781325857127765,10.771524412970557,26.565031164267584,True,False,True,True,True,79.86,25.0,92.8,84.87,88.06,100.0,100.0,Strong Breakout Watch,Aegis Logistics Limited,EQ,INE208C01025,Aegis Logistics Limited,Energy,Oil & Gas Refining & Marketing,464548495360.0,489202253824.0,89706553344.0,12512738304.0,35.6,42.0533,172.508,41499369472.0,44138561536.0,,,,,28.032,13.949000999999999,47.243,37.176968,31.471966,7.672108,,99.0,37.1,269.0,75.0,50,-1.4685,76.44749999999999,Actionable Watch,1438.10 or below,1438.1,1342.56,1629.18,1724.72,2.0,Very Strong
GANDHITUBE,GANDHITUBE.NS,2026-09-21,897.9500122070312,912.0,888.8499755859375,909.2999877929688,4655.0,897.2674987792968,888.7049963378906,875.5539971923828,835.9772494506836,897.4039957076648,895.7843967475133,888.090979384228,56.796600984690585,23.01477942958771,2.531043631205652,0.8403285495080783,1010.0,681.0499877929688,8.770901168717815,-9.97029823831993,850.0,914.5,889.4000040690104,2.427483840379474,1.8994803239504199,5.787912361879144,True,False,True,False,True,65.07,25.0,58.43,97.59,44.41,100.0,75.0,Pre-Breakout Watch,Gandhi Special Tubes Limited,EQ,INE524B01027,Gandhi Special Tubes Limited,Industrials,Metal Fabrication,9830534144.0,10475544576.0,2008593024.0,746921984.0,61.43,,259.996,1017000.0,112295000.0,,,,,45.088001999999996,37.186,0.032,14.181996,,3.3508208,,169.0,18.9,29.299999999999997,96.79,50,-1.4685,76.2895,Actionable Watch,909.30 or below,909.3,874.78,978.34,1012.87,2.0,Very Strong
ACMESOLAR,ACMESOLAR.NS,2026-09-21,439.0,464.45001220703125,437.5,458.1000061035156,6919009.0,408.56499938964845,388.88,359.81999938964844,301.6602500915527,423.15895384327405,410.6937795010765,390.67167703486246,73.10810495330507,17.230948081730062,3.7613944230850835,2.667256142742851,464.45001220703125,195.89999389648438,51.85958573079616,-1.3672098044181014,376.29998779296875,440.70001220703125,429.15000406901044,13.870251057343474,11.96383060912758,20.791036546741104,True,False,False,True,True,79.05,25.0,90.56,69.78,100.0,100.0,100.0,Strong Breakout Watch,Acme Solar Holdings Limited,EQ,INE622W01025,ACME Solar Holdings Limited,Utilities,Utilities - Renewable,296924938240.0,404033929216.0,28535959552.0,6034149888.0,9.7,24.89404,83.561,198962937856.0,61580910592.0,,,,,67.57600000000001,21.146,393.194,43.340206,16.887577,5.0310555,,5.0,46.800000000000004,71.5,75.0,50,-1.4685,75.9615,Actionable Watch,440.70 or below,440.7,414.85,492.39,518.24,2.0,Very Strong
AEGISVOPAK,AEGISVOPAK.NS,2026-09-21,317.0,320.95001220703125,309.20001220703125,318.29998779296875,2864123.0,288.0175018310547,284.89099975585935,253.37269958496094,233.69784996032715,303.7642059142459,293.8670970181804,280.0383095417853,71.14942977433728,12.965123075507018,4.073240205067145,1.757359239361193,320.95001220703125,158.0,36.20150456968423,-0.8256813563705667,258.29998779296875,317.0,310.8666687011719,7.861735414981652,17.75804741684439,36.74441807389994,True,False,False,True,True,77.53,25.0,100.0,73.7,76.51,100.0,100.0,Strong Breakout Watch,Aegis Vopak Terminals Limited,EQ,INE0INX01018,Aegis Vopak Terminals Limited,Energy,Oil & Gas Equipment & Services,334613446656.0,370178850816.0,9510377472.0,3055269888.0,2.77,7.56667,38.724,37309267968.0,3023527936.0,,,,,53.025999999999996,32.126,84.438,109.02527,39.911877,7.7987814,,7.000000000000001,42.5,30.4,75.0,50,-1.4685,75.0495,Actionable Watch,317.00 or below,317.0,297.55,355.9,375.34,2.0,Very Strong
ACUTAAS,ACUTAAS.NS,2026-09-21,3460.0,3509.89990234375,3399.0,3425.699951171875,327627.0,3281.8800048828125,3308.99599609375,3220.156003417969,2628.0499993896483,3351.312223863647,3307.6018116281048,3271.120309789228,57.48521437451398,123.12552518989732,3.5941713210398976,1.1372186258005172,3740.0,1302.0,30.351399401361356,-8.403744621072862,3120.0,3488.0,3401.6000162760415,1.2412448091165373,7.964070317424365,-3.993610278291715,True,False,False,False,True,67.48,25.0,62.73,98.97,54.8,100.0,75.0,Pre-Breakout Watch,Acutaas Chemicals Limited,EQ,INE00FF01025,Acutaas Chemicals Limited,Basic Materials,Specialty Chemicals,267407441920.0,266097737728.0,14618044416.0,3862220032.0,47.03,73.23627,201.925,355959008.0,2248343040.0,,,,,31.319000000000003,26.421,2.081,69.44929,44.59812,16.175312,,7.000000000000001,59.099999999999994,67.10000000000001,89.59,50,-1.4685,74.8555,Actionable Watch,3425.70 or below,3425.7,3241.01,3795.08,3979.76,2.0,Very Strong
