Symbol,Yahoo_Symbol,Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA100,SMA200,EMA9,EMA20,EMA50,RSI14,ATR14,ATR_Pct,Volume_Ratio,52W_High,52W_Low,Distance_200DMA_Pct,Distance_52W_High_Pct,Support,Resistance,Pivot,Return_5D_Pct,Return_20D_Pct,Return_60D_Pct,Above_200DMA,Near_200DMA,Recent_200DMA_Cross_Down,Breakout,Near_Breakout,Technical_Score,Trend_Score,Momentum_Score,RSI_Score,Volume_Score,Position_Score,Breakout_Score,Setup,name,series,isin,Company_Name,Sector,Industry,Market_Cap,Enterprise_Value,Revenue,Net_Income,EPS,Forward_EPS,Book_Value,Total_Debt,Total_Cash,Current_Ratio,Quick_Ratio,ROE,ROA,Operating_Margin,Profit_Margin,Debt_to_Equity,PE,Forward_PE,PB,PEG,Dividend_Yield,Revenue_Growth,Profit_Growth,Fundamental_Score,Sector_Score,Market_Adjustment,Overall_Score,Trade_Status,Entry_Zone,Entry_Price,Stop_Loss,Target_1,Target_2,Risk_Reward,Ranking_Quality
FILATEX,FILATEX.NS,2026-09-11,76.0,90.9000015258789,74.2699966430664,87.41000366210938,38898608.0,79.23200035095215,75.23359977722168,61.5614998626709,53.80369995117187,78.75529867101814,78.27157448393224,73.64033490302586,65.74400386236876,4.493961380037106,5.141243784188463,9.31648469412048,90.9000015258789,36.2599983215332,62.460952948284266,-3.8393815238561224,70.73999786376953,87.2699966430664,75.98000081380208,12.467836193014637,7.396491359633295,59.33285215023483,True,False,False,True,True,82.68,25.0,100.0,84.51,100.0,100.0,100.0,Strong Breakout Watch,Filatex India Limited,EQ,INE816B01035,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,-1.398,81.28200000000001,Actionable Watch,87.27 or below,87.27,80.53,100.75,107.49,2.0,Excellent
HLEGLAS,HLEGLAS.NS,2026-09-11,367.8500061035156,404.3500061035156,363.0,404.3500061035156,870661.0,326.99000244140626,379.3400018310547,365.4210009765625,369.38224990844725,352.7876277506357,347.507902875248,360.7269500807121,68.11027637181044,19.90619119750225,4.923009990608524,2.5319992944865697,661.9500122070312,250.0,9.466550221006909,-38.915326135374215,303.5,396.6000061035156,376.18333943684894,26.339641157892558,21.700528548838417,6.857825746722979,True,False,True,True,True,81.8,25.0,98.89,79.78,100.0,100.0,100.0,Strong Breakout Watch,HLE Glascoat Limited,EQ,INE461D01028,HLE Glascoat Limited,,,27462402048.0,,,,,,77.797,,,,,,,,,,75.1711,,5.0824585,,27.0,,,,50,-1.398,80.402,Actionable Watch,396.60 or below,396.6,366.74,456.32,486.18,2.0,Excellent
TDPOWERSYS,TDPOWERSYS.NS,2026-09-11,760.0,812.7999877929688,743.0499877929688,804.9000244140625,4284956.0,757.5349975585938,656.758994140625,636.3507482910156,517.2344982910156,761.7559380815349,740.304252556464,686.9536979892773,65.28370825183768,36.48989425190056,4.533469144626236,2.022027395142587,812.7999877929688,262.6000061035156,55.616074928009816,-0.9719443279468276,717.2000122070312,798.8499755859375,761.0,8.755580457467627,8.433253085079295,26.487004839267534,True,False,False,True,True,78.89,25.0,88.06,85.43,85.77,100.0,100.0,Strong Breakout Watch,TD Power Systems Limited,EQ,INE419M01035,TD Power Systems Limited,Industrials,Specialty Industrial Machinery,226687451136.0,225412349952.0,21243891712.0,2749943040.0,8.77,14.875,34.304,181074000.0,1436436992.0,,,,,17.884000999999998,12.945,1.689,82.7252,48.77311,21.149137,,13.0,72.1,72.0,84.44,50,-1.398,79.712,Actionable Watch,798.85 or below,798.85,744.12,908.32,963.05,2.0,Very Strong
FINCABLES,FINCABLES.NS,2026-09-11,1406.4000244140625,1498.0,1340.0999755859375,1424.0,3358636.0,1292.3649963378907,1146.6610009765625,1110.626000366211,958.983501586914,1327.7811382778693,1276.5935539502034,1191.538737288556,68.75684836246529,66.7004327879883,4.684019156459853,2.7395321442143565,1498.0,700.7999877929688,48.49056293915197,-4.939919893190925,1186.5,1429.0,1394.6999918619792,16.70218464050881,14.207805901492975,22.305242659163717,True,False,False,False,True,76.21,25.0,96.26,78.49,100.0,100.0,75.0,Pre-Breakout Watch,Finolex Cables Limited,EQ,INE235A01022,Finolex Cables Limited,Industrials,Electrical Equipment & Parts,204923437056.0,184465883136.0,69386403840.0,8001399808.0,52.26,72.7,397.807,191400000.0,20693999616.0,,,,,11.058,11.532,0.314,25.639112,18.430538,3.3682163,,63.0,44.3,53.2,84.49,50,-1.398,78.124,Actionable Watch,1424.00 or below,1424.0,1323.95,1624.1,1724.15,2.0,Very Strong
ARROWGREEN,ARROWGREEN.NS,2026-09-11,782.0,818.9500122070312,780.0,813.0,19342.0,745.5225006103516,725.102998046875,636.6919985961914,553.8087498474121,781.4769935030246,758.4245105681861,716.4169616886501,64.94294155151891,33.448393059583715,4.1141934882636795,0.7189612938478294,824.0,341.95001220703125,46.801580911100004,-1.3349514563106846,677.0,824.0,795.2333374023438,4.579363836883044,3.89776357827476,34.52470138875563,True,False,True,False,True,66.75,25.0,85.42,86.11,40.16,100.0,75.0,Pre-Breakout Watch,Arrow Greentech Limited,EQ,INE570D01018,Arrow Greentech Limited,Consumer Cyclical,Packaging & Containers,12651990016.0,11396260864.0,2467500032.0,638300032.0,42.36,,155.204,22600000.0,1294400000.0,,,,,39.048,25.868000000000002,0.957,19.795797,,5.4028893,,62.0,111.20000000000002,151.7,95.22,50,-1.398,76.74000000000001,Actionable Watch,813.00 or below,813.0,762.83,913.35,963.52,2.0,Very Strong
WENDT,WENDT.NS,2026-09-11,8660.0,8900.0,8461.0,8812.5,28678.0,8223.25,8049.23,7633.06,7415.25,8410.95802205382,8269.901666214662,8042.886923468023,65.17239402578669,297.62468980371307,3.3773014445811413,2.0501052646628852,9950.0,5841.5,18.842925053100036,-11.432160804020096,7888.0,8939.0,8611.166666666666,6.085229324665953,10.363180964308082,11.904761904761907,True,False,True,False,True,72.9,25.0,80.25,85.66,86.75,100.0,75.0,Pre-Breakout Watch,Wendt (India) Limited,EQ,INE274C01019,Wendt (India) Limited,Industrials,Tools & Accessories,17159999488.0,16407900160.0,2554299904.0,169500000.0,84.6,84.72,1269.35,1900000.0,754000000.0,,,,,10.424,6.6360004,0.075,101.41844,101.27479,6.759365,,23.0,36.6,63.2,85.05,50,-1.398,76.36200000000001,Actionable Watch,8812.50 or below,8812.5,8366.06,9705.37,10151.81,2.0,Very Strong
ABSLAMC,ABSLAMC.NS,2026-09-11,1086.0,1116.9000244140625,1067.0999755859375,1109.9000244140625,578949.0,1034.610009765625,1054.3239978027343,1065.4574993896485,961.5510009765625,1064.065011978245,1047.8129584297526,1048.9879360971954,64.75038412280887,34.75280061729175,3.1311649565588953,2.6688901694133915,1224.9000244140625,708.0,15.428097239442828,-9.388521324833087,990.2999877929688,1098.9000244140625,1076.5666910807292,6.190210128659679,8.135229736346439,-4.9010326765843715,True,False,False,True,True,77.33,25.0,62.35,86.5,100.0,100.0,100.0,Strong Breakout Watch,Aditya Birla Sun Life AMC Limited,EQ,INE404A01024,Aditya Birla Sun Life AMC Limited,Financial Services,Asset Management,300325175296.0,262269255680.0,21167800320.0,10074500096.0,34.74,43.60359,139.944,637299968.0,38120001536.0,,,,,65.116,47.594002,1.577,29.876223,23.803087,7.4165382,,229.99999999999997,10.6,11.3,78.06,50,-1.398,76.224,Actionable Watch,1098.90 or below,1098.9,1046.77,1203.16,1255.29,2.0,Very Strong
PAYTM,PAYTM.NS,2026-09-11,1745.0,1840.0,1726.800048828125,1807.5,9269434.0,1658.5049987792968,1482.93,1299.0995007324218,1243.6140002441407,1709.898100672839,1651.0619400660223,1509.3681288749394,70.80758137136883,59.80795668639071,3.3088772717228614,2.1900732495467725,1840.0,930.5999755859375,45.342525867766014,-1.7663043478260865,1546.300048828125,1758.9000244140625,1738.6999918619792,10.415394013439228,9.578660200060618,65.23447844040142,True,False,True,True,True,79.91,25.0,100.0,74.38,91.65,100.0,100.0,Strong Breakout Watch,One 97 Communications Limited,EQ,INE982J01020,One97 Communications Limited,Technology,Software - Infrastructure,1109160361984.0,962225373184.0,89670000640.0,6499999744.0,10.12,32.09163,249.971,1720000000.0,145910005760.0,,,,,2.9409999,7.249,1.073,170.94862,53.90814,6.920803,,,27.700000000000003,79.9,72.58,50,-1.398,75.58,Actionable Watch,1758.90 or below,1758.9,1669.19,1938.32,2028.04,2.0,Very Strong
ELLEN,ELLEN.NS,2026-09-11,373.0,384.0,366.1000061035156,380.20001220703125,1713956.0,330.2124984741211,303.40399993896483,287.8768006896973,280.756900100708,346.5588638285342,331.4698775080063,310.2117420568693,74.65495078454859,16.947319699141147,4.457474790903683,2.2131936067278684,559.7999877929688,175.0,35.419650263503,-32.08288308365578,308.3500061035156,378.6000061035156,365.8666687011719,14.569837340437953,14.311486840051657,35.038191685734496,True,False,False,True,True,78.87,25.0,100.0,66.69,92.46,100.0,100.0,Strong Breakout Watch,Ellenbarrie Industrial Gases Limited,EQ,INE236E01022,Ellenbarrie Industrial Gases Limited,Basic Materials,Chemicals,50046230528.0,51048431616.0,3566680064.0,1206499968.0,8.59,12.2,69.332,1844169984.0,841969984.0,,,,,31.757997999999997,33.827,18.873,41.338764,29.106558,5.121733,,,18.0,74.6,71.5,50,-1.398,74.524,Actionable Watch,378.60 or below,378.6,353.18,429.44,454.86,2.0,Very Strong
SMARTLINK,SMARTLINK.NS,2026-09-11,219.5,230.5399932861328,215.0500030517578,230.3000030517578,20834.0,219.44200057983397,211.04779998779296,185.64600006103515,155.95580032348633,217.4802053124224,216.99050151834206,207.9613247400918,61.8168664143456,11.190022390868865,4.858889380194237,3.662380353862516,233.0,103.5,47.67004662479075,-1.1587969734945025,203.61000061035156,233.0,214.3733367919922,7.712457640641923,2.1240781613236503,35.974499433865304,True,False,False,False,True,76.31,25.0,83.03,92.37,100.0,100.0,75.0,Pre-Breakout Watch,Smartlink Holdings Limited,BE,INE178C01020,Smartlink Holdings Limited,Technology,Communication Equipment,2328264704.0,1396437760.0,2975991040.0,165770000.0,16.63,,210.327,25059000.0,956886016.0,,,,,5.4029997000000005,5.57,1.194,14.035479,,1.1097482,,87.0,61.9,157.8,74.43,50,-1.398,74.16000000000001,Actionable Watch,230.30 or below,230.3,213.51,263.87,280.66,2.0,Very Strong
