Symbol,Yahoo_Symbol,Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA100,SMA200,EMA9,EMA20,EMA50,RSI14,ATR14,ATR_Pct,Volume_Ratio,52W_High,52W_Low,Distance_200DMA_Pct,Distance_52W_High_Pct,Support,Resistance,Pivot,Return_5D_Pct,Return_20D_Pct,Return_60D_Pct,Above_200DMA,Near_200DMA,Recent_200DMA_Cross_Down,Breakout,Near_Breakout,Technical_Score,Trend_Score,Momentum_Score,RSI_Score,Volume_Score,Position_Score,Breakout_Score,Setup,name,series,isin,Company_Name,Sector,Industry,Market_Cap,Enterprise_Value,Revenue,Net_Income,EPS,Forward_EPS,Book_Value,Total_Debt,Total_Cash,Current_Ratio,Quick_Ratio,ROE,ROA,Operating_Margin,Profit_Margin,Debt_to_Equity,PE,Forward_PE,PB,PEG,Dividend_Yield,Revenue_Growth,Profit_Growth,Fundamental_Score,Sector_Score,Market_Adjustment,Overall_Score,Trade_Status,Entry_Zone,Entry_Price,Stop_Loss,Target_1,Target_2,Risk_Reward,Ranking_Quality
GANDHITUBE,GANDHITUBE.NS,2026-09-22,909.0,1046.5999755859375,906.1500244140625,1003.2000122070312,315984.0,902.6725006103516,891.5529968261719,876.8829974365234,837.1717495727539,918.5631990075382,906.0144553627055,892.6050591027694,76.70032851396665,31.403005982608228,3.1302836523617947,15.009583344218997,1046.5999755859375,681.0499877929688,19.83204315231719,-4.146757537865298,850.0,914.5,903.3833211263021,15.151514939216003,12.076867341028684,17.422606762411164,True,False,True,True,True,77.6,25.0,88.09,62.6,100.0,100.0,100.0,Strong Breakout Watch,Gandhi Special Tubes Limited,EQ,INE524B01027,Gandhi Special Tubes Limited,Industrials,Metal Fabrication,9830534144.0,10475544576.0,2008593024.0,746921984.0,61.43,,259.996,1017000.0,112295000.0,,,,,45.088001999999996,37.186,0.032,14.181996,,3.3508208,,169.0,18.9,29.299999999999997,96.79,50,-1.4280000000000004,83.84800000000001,Actionable Watch,914.50 or below,914.5,867.4,1008.71,1055.81,2.0,Excellent
BANDHANBNK,BANDHANBNK.NS,2026-09-22,180.0,185.11000061035156,179.89999389648438,184.6999969482422,22267703.0,170.9359992980957,175.96239959716797,189.74789962768554,175.38969985961913,176.02545138334474,173.81571107466536,177.29043304297576,66.1645200976923,5.16871667954941,2.7984389631570057,2.28673641812385,220.75999450683594,134.25,5.308348834666443,-16.334480184758803,159.24000549316406,181.25999450683594,178.62999979654947,7.103508388971802,6.455329653165531,-9.540599679847904,True,False,True,True,True,73.97,25.0,55.28,83.67,95.04,92.47,100.0,Strong Breakout Watch,Bandhan Bank Limited,EQ,INE545U01014,Bandhan Bank Limited,Financial Services,Banks - Regional,277842362368.0,289937293312.0,99382173696.0,13532693504.0,8.38,20.42049,158.964,143028125696.0,131266928640.0,,,,,23.771,13.617,,20.578758,8.444949,1.0848367,,85.0,21.6,34.599999999999994,96.09,50,-1.4280000000000004,81.39000000000001,Actionable Watch,181.26 or below,181.26,173.51,196.77,204.52,2.0,Excellent
RBLBANK,RBLBANK.NS,2026-09-22,404.29998779296875,424.3999938964844,402.8500061035156,423.20001220703125,7366084.0,403.06249847412107,387.85899841308594,371.21149963378906,340.47925003051756,410.2850722204591,404.404158868915,390.8408070850398,64.18455809876484,10.2457344136969,2.42101467820484,1.955154091445729,424.3999938964844,261.6000061035156,24.29539015053026,-0.2827478102522818,375.0,420.3999938964844,404.46666463216144,4.8562947985904215,10.20833651224773,14.672815663237415,True,False,False,True,True,77.98,25.0,82.15,87.63,83.43,100.0,100.0,Strong Breakout Watch,RBL Bank Limited,EQ,INE976G01028,RBL Bank Limited,Financial Services,Banks - Regional,625959174144.0,229205131264.0,79456002048.0,7216269824.0,12.13,20.03055,270.96,152253202432.0,108387999744.0,,,,,13.972001,9.081999999999999,,33.272877,20.149221,1.4895188,,33.0,40.8,367.9,85.3,50,-1.4280000000000004,79.48,Actionable Watch,420.40 or below,420.4,405.03,451.14,466.51,2.0,Very Strong
DICIND,DICIND.NS,2026-09-22,629.9000244140625,667.9500122070312,626.0,654.25,19144.0,606.4349914550781,561.6909967041015,538.206997680664,526.2244978332519,623.7011325248633,606.7606174214174,575.4415304920421,68.25179837363704,28.933258121043707,4.4223550815504336,2.460399570740986,667.9500122070312,450.5,24.32906538823214,-2.0510535154814713,547.2999877929688,642.0,629.6333414713541,10.30093114238586,10.505871715139993,30.38063290466413,True,False,True,True,True,81.22,25.0,95.32,79.5,100.0,100.0,100.0,Strong Breakout Watch,DIC India Limited,EQ,INE303A01010,DIC India Limited,Basic Materials,Specialty Chemicals,5444510208.0,5324805632.0,9844589568.0,289308000.0,31.55,42.77,483.852,32700000.0,153843008.0,2.037,1.236,,,6.84,2.939,0.736,18.800318,13.868366,1.2258915,,50.0,25.4,227.2,78.16,50,-1.4280000000000004,78.568,Actionable Watch,642.00 or below,642.0,598.6,728.8,772.2,2.0,Very Strong
STEELCAS,STEELCAS.NS,2026-09-22,365.0,365.0,340.0,350.1499938964844,1480317.0,327.61749877929685,327.605,310.0014993286133,270.3340995025635,323.89449943727357,326.26131938257953,323.82765127267515,60.61784827209002,16.50195196951621,4.712823720452418,9.310240077283602,365.0,176.02000427246094,29.524908082549906,-4.0684948228809965,292.20001220703125,354.8500061035156,318.75,11.958431301833539,3.3043166502711774,15.351674510788783,True,False,False,False,True,74.55,25.0,68.89,94.76,100.0,100.0,75.0,Pre-Breakout Watch,Steelcast Limited,EQ,INE124E01038,Steelcast Limited,Basic Materials,Steel,31650299904.0,30672654336.0,4413003776.0,906883968.0,8.94,,39.033,0.0,977646016.0,,,,,22.996001,20.549999,,34.983223,,8.012451,,55.00000000000001,17.0,19.1,88.06,50,-1.4280000000000004,78.52600000000001,Actionable Watch,350.15 or below,350.15,325.4,399.66,424.41,2.0,Very Strong
INDSWFTLAB,INDSWFTLAB.NS,2026-09-22,388.0,417.0,386.20001220703125,405.54998779296875,2018072.0,374.4905014038086,306.9520013427734,238.7663005065918,180.7239500808716,381.5766955422321,366.5218945885207,318.14324640257115,68.89135734511709,21.791853569716867,5.373407526975811,1.796728441619382,417.0,87.1500015258789,124.40301222471648,-2.7458062846597686,320.05999755859375,404.0,378.7999979654948,7.075904367780539,25.02311538575881,99.258089827209,True,False,False,True,True,78.42,25.0,100.0,78.22,77.89,100.0,100.0,Strong Breakout Watch,Ind-Swift Laboratories Limited,EQ,INE915B01019,Ind-Swift Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,32936691712.0,28706314240.0,6744245760.0,573249024.0,6.71,,165.767,205012992.0,4417501184.0,,,,,13.502,8.5,1.481,56.445602,,2.2848337,,,25.4,142.70000000000002,81.1,50,-1.4280000000000004,78.064,Actionable Watch,404.00 or below,404.0,371.31,469.38,502.06,2.0,Very Strong
ARROWGREEN,ARROWGREEN.NS,2026-09-22,888.9500122070312,939.4500122070312,882.2000122070312,913.0499877929688,148573.0,801.3249969482422,756.9949975585937,663.0934976196289,566.9684999084473,865.7607233948813,822.8011592751225,758.7713777005215,72.20114546891786,42.62146233921891,4.668031642193417,2.7490279051135476,952.75,341.95001220703125,61.04069060986739,-4.16688661317568,680.0999755859375,952.75,882.3166707356771,8.884383887009673,28.50809117423909,52.74780222383417,True,False,False,False,False,67.74,25.0,100.0,71.6,100.0,100.0,35.0,52W High Watch,Arrow Greentech Limited,EQ,INE570D01018,Arrow Greentech Limited,Consumer Cyclical,Packaging & Containers,12651990016.0,11396260864.0,2467500032.0,638300032.0,42.36,,155.204,22600000.0,1294400000.0,,,,,39.048,25.868000000000002,0.957,19.795797,,5.4028893,,62.0,111.20000000000002,151.7,95.22,50,-1.4280000000000004,77.304,Actionable Watch,913.05 or below,913.05,849.12,1040.91,1104.85,2.0,Very Strong
UNIMECH,UNIMECH.NS,2026-09-22,1719.9000244140625,1868.199951171875,1715.0,1732.5,1014112.0,1551.0299987792969,1429.8740063476562,1252.066508178711,1074.2707543945312,1617.367828396329,1562.2305679772085,1444.0999931196934,70.72344965265096,79.91071425429956,4.61245103920921,3.3380523924181253,1868.199951171875,695.0,61.27219259323995,-7.263673842125618,1421.199951171875,1703.0,1657.1333414713542,12.609684757881045,17.5771971496437,47.86838764983736,True,False,True,True,True,81.18,25.0,100.0,74.55,100.0,100.0,100.0,Strong Breakout Watch,Unimech Aerospace and Manufacturing Limited,EQ,INE0U3I01011,Unimech Aerospace and Manufacturing Limited,Industrials,Aerospace & Defense,78312718336.0,73577250816.0,2851223040.0,720227968.0,14.17,30.7,144.925,1267284992.0,5917983744.0,,,,,29.081000000000003,25.259999999999998,17.186,108.574455,50.114006,10.615835,,,70.89999999999999,45.5,75.0,50,-1.4280000000000004,77.28,Actionable Watch,1703.00 or below,1703.0,1583.13,1942.73,2062.6,2.0,Very Strong
ARIHANTCAP,ARIHANTCAP.NS,2026-09-22,81.19000244140625,93.0,81.19000244140625,90.98999786376953,6068197.0,79.80050010681153,77.56739944458008,73.54509967803955,76.30359992980956,82.25249503018435,80.15769899529413,77.55511700737058,74.5884862219788,3.4680439606963516,3.811456250266888,10.817187182334546,120.0,56.970001220703125,19.24731984790986,-24.175001780192062,74.5199966430664,83.5,81.72999827067058,11.71270874520669,19.393778975006203,32.214470019261945,True,False,True,True,True,80.02,25.0,100.0,66.82,100.0,100.0,100.0,Strong Breakout Watch,Arihant Capital Markets Limited,EQ,INE420B01036,Arihant Capital Markets Limited,Financial Services,Capital Markets,8927929344.0,5417116160.0,2078728960.0,402494016.0,3.61,,44.248,2440806912.0,5953851904.0,,,,,38.595,19.363001,55.35,22.562326,,1.8407611,,63.0,50.4,69.0,75.0,50,-1.4280000000000004,76.584,Actionable Watch,83.50 or below,83.5,78.3,93.9,99.11,2.0,Very Strong
GNFC,GNFC.NS,2026-09-22,592.0999755859375,615.8499755859375,589.2999877929688,598.7000122070312,2062525.0,577.6450012207031,555.1669995117187,536.5000003051758,497.9560005187988,579.7292941458381,575.6498725714755,560.3846039763669,61.12716215907651,18.8673110484912,3.1513797667949364,1.9122473158051838,619.0,365.0,20.231508724319337,-3.279481065099965,528.7999877929688,605.7000122070312,590.5,10.747325054560196,1.819729967182182,10.176662736185493,True,False,False,False,True,70.62,25.0,61.78,93.75,81.93,100.0,75.0,Pre-Breakout Watch,Gujarat Narmada Valley Fertilizers and Chemicals Limited,EQ,INE113A01013,Gujarat Narmada Valley Fertilizers & Chemicals Limited,Basic Materials,Chemicals,85938257920.0,61380038656.0,84099997696.0,10369999872.0,70.6,62.69,620.096,60000000.0,18040000512.0,,,,,14.163999999999998,12.331,0.066,8.283994,9.329239,0.94316036,,389.0,39.800000000000004,275.59999999999997,88.83,50,-1.4280000000000004,76.476,Actionable Watch,598.70 or below,598.7,570.4,655.3,683.6,2.0,Very Strong
